ANNEXURE XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(CHAPTER XIV, PARA 26.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL RESULT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTION TO THE LEGISLATIVE ASSEMBLY OF KARNATAKA FROM No. 158. Hebbal ASSEMBLY CONSTITUENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency/Segment : 210479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Polling Station No,Polling Station No,,,No Of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polling station name,polling station Location,Abdul Azeem,C.K. Abdul Rahman Sharief,R. Jagadeesh Kumar,Abdul Basheer,Dr. Prabhashankar,Fakruddin.S,C.Munikrishna,Vinod.M,M.Venkatesha,Sridhar Pabbisetty,Uma Lakshmi Narayan,Chand Pasha,S.K.Dhanaraj,Nagaraja Shetty,Nandimandalam Madhava Raju,M.Munihanumaiah,Mohammed Usman Sharieff,Manjunatha.A,M.Manjunath,R.Raghu,N.K.Ravikumar,Shabeer Pasha,Syed Mustafa,Harish,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
25,158024,24,Govt  Lower Primary School  Vishwanatha Nagenahalli  Room No 3,Hebbala ,319,244,386,3,3,1,18,1,4,11,0,0,3,4,3,6,6,3,1,5,1,1,1,2,1026,NIL,1026,0
26,158025,25,Govt  Lower Primary School  Vishwanatha Nagenahalli  Room No 4,Hebbala ,187,159,320,1,1,0,50,4,0,48,0,0,0,8,0,2,2,0,0,1,0,2,0,2,787,NIL,787,0
27,158026,26,Govt  Higher Primary School  Cholanayakanahalli Room No 1,Hebbala ,54,155,166,6,0,6,245,17,1,13,0,2,0,4,2,5,5,2,1,4,0,2,3,2,695,NIL,695,0
28,158027,27,Govt  Higher Primary School  Cholanayakanahalli Room No 2,Hebbala ,46,103,191,2,3,2,105,5,0,29,1,0,2,1,0,1,1,2,2,0,0,0,0,3,499,NIL,499,0
29,158028,28,Govt  Higher Primary School  Cholanayakanahalli  Room No 3,Hebbala ,99,122,253,0,1,9,133,3,2,15,0,2,0,7,0,1,0,0,1,1,0,3,0,5,657,NIL,657,0
30,158029,29,Govt  Higher Primary School  Cholanayakanahalli  Room No 4,Hebbala ,63,136,219,5,2,0,136,0,3,49,0,1,0,6,0,2,0,2,1,2,1,0,3,2,633,NIL,633,0
31,158030,30,Govt  Urdu Higher Primary School  Bellary Main Road  Hebbal  Room No 1,Hebbala ,135,188,136,2,1,3,59,0,4,6,0,0,0,1,1,4,0,0,0,0,1,2,1,2,546,NIL,546,0
32,158031,31,Ashraya English School  Chinnamari Layout  Hebbala   A  Block  Room No 1,Hebbala ,138,195,133,2,1,2,91,4,1,6,4,1,1,1,0,2,4,2,0,0,0,0,2,1,591,NIL,591,0
33,158032,32,Ashraya English School  Chinnamary Layout  Hebbala  Room No 2,Hebbala ,127,178,266,1,1,7,74,1,0,31,5,0,0,0,1,0,1,1,4,2,0,1,0,3,704,NIL,704,0
34,158033,33,Vidyashree Education Institute  Near Nagashettyhalli Bus Stand  Room No 1,Sanjayanagar,125,126,209,0,2,0,14,3,2,4,0,1,3,3,2,3,0,0,1,0,14,0,0,5,517,NIL,517,0
