ANNEXURE XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(CHAPTER XIV, PARA 26.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL RESULT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTION TO THE LEGISLATIVE ASSEMBLY OF KARNATAKA FROM No. 158. Hebbal ASSEMBLY CONSTITUENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency/Segment : 210479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Polling Station No,Polling Station No,,,No Of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polling station name,polling station Location,Abdul Azeem,C.K. Abdul Rahman Sharief,R. Jagadeesh Kumar,Abdul Basheer,Dr. Prabhashankar,Fakruddin.S,C.Munikrishna,Vinod.M,M.Venkatesha,Sridhar Pabbisetty,Uma Lakshmi Narayan,Chand Pasha,S.K.Dhanaraj,Nagaraja Shetty,Nandimandalam Madhava Raju,M.Munihanumaiah,Mohammed Usman Sharieff,Manjunatha.A,M.Manjunath,R.Raghu,N.K.Ravikumar,Shabeer Pasha,Syed Mustafa,Harish,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
112,158107,107,Mamatha High School  Manjunatha Layout  Room No 4,R T Nagar ,84,134,234,2,1,6,22,1,0,21,1,0,0,1,0,5,2,1,5,1,0,1,0,2,524,NIL,524,0
113,158108,108,Newton Education Society  Subhas Memorial English School  Venkataswamappa Layout  Room No 1,R T Nagar ,106,138,137,2,0,13,12,0,1,4,0,0,0,3,0,4,1,0,1,1,0,4,1,2,430,NIL,430,0
114,158109,109,Newton Education Society  Subhas Memorial Engaish School  Venkataswamappa Layout  Room No 2,R T Nagar ,193,158,178,6,0,33,10,0,2,8,1,1,0,2,0,3,1,1,0,2,0,8,0,0,607,NIL,607,0
115,158110,110,Newton Education Society  Subhas Memorial English School  Venkataswamappa Layout  Room No 3,R T Nagar ,150,194,128,0,0,22,11,1,2,2,3,1,0,6,0,2,4,3,4,0,0,1,1,3,538,NIL,538,0
116,158111,111,Newton Education Society  Subhas Memorial English School  Venkataswamappa Layout  Room No 4,R T Nagar ,105,129,66,1,1,21,10,0,0,6,1,0,0,1,0,0,0,0,0,1,0,2,0,0,344,NIL,344,0
117,158112,112,New Mona Education Society  10th Cross  Manorayanapalya  Room No 1, Hebbala  ,90,139,249,1,1,3,17,1,0,22,0,1,0,3,0,2,1,2,1,0,0,4,0,5,542,NIL,542,0
118,158113,113,New Mona Education Society  10th Cross  Manorayanapalya  Room No 2, Hebbala  ,173,160,172,5,2,8,13,0,2,5,1,1,1,6,0,2,2,7,1,0,0,8,0,24,593,NIL,593,0
119,158114,114,New Mona Education Society  10th Cross  Manorayanapalya  Room No 3, Hebbala  ,134,197,224,1,1,8,5,0,2,8,0,0,0,2,1,1,0,0,1,0,0,3,0,4,592,NIL,592,0
120,158115,115,New Mona Education Society  10th Cross  Manorayanapalya  Room No 4, Hebbala  ,105,201,377,2,0,8,13,1,2,14,1,0,0,3,0,4,2,21,1,4,1,3,1,4,768,NIL,768,0
121,158116,116,Acharya Institute  Seethappa Layout  Room No 1, Hebbala  ,64,122,364,2,0,1,80,2,2,15,0,0,0,0,0,4,0,0,3,0,0,2,0,1,662,NIL,662,0
122,158117,117,Acharya Institute  Seethappa Layout  Room No 2, Hebbala  ,83,159,213,2,0,8,24,0,0,11,0,0,0,0,0,3,4,2,1,4,0,2,1,2,519,NIL,519,0
123,158118,118,Everest Public School Beerappa Garden Chamundinagara  Room No 1,R T Nagar,185,193,99,2,1,33,6,0,1,5,2,1,0,2,0,1,3,1,1,0,0,6,0,1,543,NIL,543,0
124,158119,119,Everest Public School Beerappa Garden Chamundinagara  Room No 2, R T Nagar ,130,134,86,2,0,10,8,1,2,6,1,1,0,2,0,2,1,1,1,2,0,4,0,1,395,NIL,395,0
125,158120,120,Everest Public School Beerappa Garden  Chamundinagara  Room No 3, R T Nagar ,92,109,101,4,0,2,16,0,1,8,1,0,1,2,0,0,0,2,2,0,0,3,0,0,344,NIL,344,0
126,158121,121,Everest Public School Beerappa Garden Chamundinagara  Room No 4, R T Nagar ,85,88,34,0,0,4,1,0,2,7,0,0,0,3,0,1,0,0,0,0,0,3,0,1,229,NIL,229,0
127,158122,122,Everest Public School  Chamundinagara  Room No 5, R T Nagar ,102,122,106,1,0,9,4,0,1,3,0,2,0,0,0,0,2,1,1,0,0,8,0,0,362,NIL,362,0
128,158123,123,M S Convent  6th C Cross Manorayanapalya  Room No 1, Hebbala  ,152,196,426,4,2,8,29,1,6,14,2,0,0,8,0,3,2,1,1,2,1,4,0,5,867,NIL,867,0
129,158124,124,M S Convent  6th C Cross Manorayanapalya  Room No 2, R T Nagar  ,184,177,176,2,2,21,11,0,3,3,1,1,0,2,0,3,1,0,2,0,1,4,0,2,596,NIL,596,0
130,158125,125,M S Convent  6th C Cross Manorayanapalya  Room No 3, Hebbala  ,182,137,304,0,2,0,40,0,1,14,0,0,0,3,1,3,1,0,3,0,0,6,1,3,701,NIL,701,0
131,158126,126,M S Convent  6th C Cross Manorayanapalya  Room No 4, Hebbala  ,96,84,165,0,2,2,32,0,0,5,0,0,3,1,0,2,2,2,0,0,1,8,0,3,408,NIL,408,0
132,158127,127,M S Convent  6th C Cross Manorayanapalya  Room No 7, Hebbala  ,65,118,229,0,0,0,17,0,3,7,1,0,2,7,2,1,2,3,0,2,0,2,0,2,463,NIL,463,0
133,158127A,127A,#N/A,#N/A,64,99,187,4,0,2,15,0,0,3,0,1,0,2,0,0,0,3,1,0,0,4,1,1,387,NIL,387,0
134,158128,128,M S Convent  6th C Cross Manorayanapalya  Room No 6, Hebbala  ,87,157,354,2,1,3,24,1,0,14,3,2,0,13,1,1,0,1,5,0,0,7,0,27,703,NIL,703,0
135,158129,129,Govt  Higher Primary School  Manorayana Palya  Room No 1, Hebbala  ,196,180,375,3,4,2,12,0,1,24,1,1,1,3,0,4,6,1,4,2,0,0,0,5,825,NIL,825,0
136,158130,130,Govt  Higher Primary School  Manorayana Palya  Room No 2, Hebbala  ,116,98,211,2,3,0,13,0,1,19,0,1,2,5,0,1,0,2,5,1,0,0,2,15,497,NIL,497,0
137,158131,131,S M English School  7th Cross  Manorayanapalya  Room No 1, Hebbala  ,56,133,200,0,1,0,13,1,3,13,0,0,0,3,0,3,6,0,1,1,1,8,0,9,452,NIL,452,0
138,158132,132,S M English School  7th Cross  Manorayanapalya  Room No 2, Hebbala  ,69,136,199,2,1,2,24,0,2,6,3,2,0,8,1,1,1,2,1,0,0,6,0,8,474,NIL,474,0
139,158133,133,Vyayama Shale  R B I Colony  Anand Nagar  Room No 1,R T Nagar ,164,183,245,4,4,7,59,1,0,49,0,0,0,3,2,1,1,1,2,0,0,1,0,8,735,NIL,735,0
140,158134,134,Govt  Model Primary School  Geddalahalli  Room No 1,Sanjayanagar ,93,108,108,0,0,1,29,0,3,21,2,1,1,0,1,0,0,1,3,0,0,1,0,5,378,NIL,378,0
141,158135,135,Govt  Model Primary School  Geddalahalli  Room No 2, Sanjayanagar  ,63,113,76,1,0,0,41,0,1,22,1,0,0,1,4,2,1,0,1,0,0,0,0,1,328,NIL,328,0
142,158136,136,Govt  Model Primary School  Geddalahalli  Room No 3,Sanjayanagar ,52,103,162,2,0,1,22,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,431,NIL,431,0
143,158137,137,Govt  Model Primary School  Geddalahalli  Room No 4,Sanjayanagar ,70,109,146,5,1,4,12,0,0,58,0,0,0,0,2,3,1,2,1,1,1,0,0,2,418,NIL,418,0
144,158138,138,Govt  Model Primary School  Geddalahalli  Room No 5,Sanjayanagar ,46,48,56,1,0,1,13,1,0,20,0,0,0,0,0,0,0,1,4,1,0,0,0,5,197,NIL,197,0
145,158139,139,Govt  Model Primary School  Geddalahalli  Room No 6,Sanjayanagar ,43,40,68,0,0,0,5,1,2,35,0,0,0,0,0,0,0,0,0,1,0,0,0,5,200,NIL,200,0
146,158140,140,Govt  Model Primary School  Geddalahalli  Room No 7,Sanjayanagar,40,52,65,2,0,0,16,0,0,18,0,0,0,0,0,0,1,0,5,0,0,1,0,2,202,NIL,202,0
147,158141,141,Sandeepeeni Nikethana Education Society  Room No 8,Sanjayanagar ,34,60,80,1,0,0,9,0,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,209,NIL,209,0
148,158142,142,Sandeepeeni Nikethana Education Society  Room No 9 ,Sanjayanagar ,66,104,113,2,1,0,19,0,2,58,0,1,0,1,2,3,0,0,1,0,0,0,0,0,373,NIL,373,0
149,158143,143,Vyayama Shale  R B I Colony  Ananda Nagar  Room No 2,R T Nagar ,33,95,175,0,0,0,19,0,1,43,2,1,0,4,0,0,1,0,1,1,0,0,0,1,377,NIL,377,0
150,158144,144,Impact English School  6th Cross  Ganganagara  Room No 1,R T Nagar ,168,262,208,1,0,6,52,0,2,24,3,1,3,3,1,7,1,0,4,0,0,2,1,1,750,NIL,750,0
151,158145,145,Impact English Primary School 6th Cross  Ganganagara North  Room No 2,R T Nagar ,54,109,247,2,1,2,133,1,0,10,3,0,4,2,4,5,2,4,6,2,0,2,3,2,598,NIL,598,0
152,158146,146,Impact English Primary School  6th Cross  Ganganagara North  Room No -3,R T Nagar ,54,106,177,1,2,1,40,0,1,44,0,0,0,3,0,2,2,0,0,1,0,1,0,0,435,NIL,435,0
153,158147,147,Impact English Primary School  6th Cross  Ganganagara North   Room No -4,R T Nagar ,141,127,77,0,0,6,44,1,1,11,2,0,2,0,0,1,1,1,0,0,0,0,5,0,420,NIL,420,0
154,158148,148,Impact English Primary School  6th Cross  Ganganagara North  Room No -5,R T Nagar ,135,114,77,0,0,8,25,1,0,10,0,1,0,3,0,2,4,1,1,0,1,8,1,3,395,NIL,395,0
155,158149,149,Presidency Nursery Primary High School  HMT Layout  Room No 1,R T Nagar ,257,283,56,6,1,25,12,0,1,15,0,0,0,0,1,0,3,0,0,0,1,5,1,1,668,NIL,668,0
156,158150,150,Presidency Nursery Primary School H M T Lyt  Ganganagara  Room No -2,R T Nagar ,56,127,221,2,0,1,30,1,1,89,1,1,1,0,0,0,0,0,0,2,0,0,0,0,533,NIL,533,0
157,158151,151,Presidency Nursery Primary School H M T Lyt  Ganganagara  Room No -3,R T Nagar ,101,177,219,1,3,0,21,0,2,155,2,0,0,2,1,3,0,0,0,0,0,0,0,1,688,NIL,688,0
158,158152,152,R T Nagar Public School  H M T Layout  Room No 1,R T Nagar ,119,165,5,2,0,8,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,308,NIL,308,0
159,158153,153,R T Nagar Public School  H M T Layout  Room No 2,R T Nagar ,257,263,3,1,2,13,7,0,0,5,0,0,0,0,1,1,0,0,0,1,1,5,0,1,561,NIL,561,0
160,158154,154,Govt  Urdu Primary School  2nd Cross  Kousar Nagar  Room No 1,R T Nagar ,109,153,189,5,2,10,12,0,1,17,0,0,0,0,1,3,0,0,2,0,1,2,0,3,510,NIL,510,0
161,158155,155,Govt Urdu Primary School   2nd Cross  Kousar Nagara Room No -2,R T Nagar ,71,161,232,2,0,0,11,0,0,13,1,1,0,0,2,0,1,1,0,0,0,5,0,3,504,NIL,504,0
162,158156,156,Vatican School  7th Cross  Dinnur,Hebbala ,99,168,251,2,0,7,22,0,1,17,0,1,0,5,0,5,2,1,6,1,1,3,0,1,593,NIL,593,0
163,158157,157,Crown Convent Nursery Primary English School  1st Cross  Kousar Nagara  Room No 1,R T Nagar ,59,126,97,1,0,7,9,1,0,14,0,0,1,5,0,0,0,0,0,0,0,0,0,1,321,NIL,321,0
164,158158,158,Crown Convent Nursery Primary English School  1st Cross  Kousar Nagara  Room No 2,R T Nagar ,48,93,54,1,0,2,4,0,0,3,1,0,0,2,0,1,2,0,2,0,0,0,0,0,213,NIL,213,0
165,158159,159,Govt Kannada Model Primary School  Harijana Colony  Gangenahalli  Room No 1,R T Nagar ,140,136,227,3,1,5,33,0,1,39,0,0,1,5,1,1,1,2,0,0,0,1,4,1,602,NIL,602,0
166,158159A,159A,#N/A,#N/A,48,83,109,0,0,5,13,1,0,17,0,0,0,2,1,0,2,0,0,0,0,1,1,2,285,NIL,285,0
167,158160,160,Govt Kannada Model Primary School  Harijana Colony  Ganganagara  Room No 2,R T Nagar ,118,152,121,2,0,15,17,0,1,2,0,0,1,2,0,1,2,0,0,0,0,5,0,3,442,NIL,442,0
168,158161,161,Modern English School  5th Mainroad  H G H Layout  Ganganagara  Room No 1,R T Nagar ,143,147,240,1,2,10,23,0,4,23,1,2,0,3,1,2,1,0,1,1,0,0,25,2,632,NIL,632,0
169,158162,162,Modern English School 5th Mainroad  H G H Lyt  Ganganagara  Room No  2,R T Nagar ,145,194,204,3,2,5,30,0,1,13,0,1,0,1,0,2,1,2,3,1,0,4,7,4,623,NIL,623,0
170,158163,163,Modern English School 5th Mainroad  H G H Lyt  Ganganagara  Room No -3,R T Nagar ,172,205,165,6,1,20,20,1,0,15,0,0,0,2,0,0,0,1,1,0,0,1,12,4,626,NIL,626,0
171,158164,164,Govt Urdu Higher Primary School  1st Main Road  H G H Layout  Gangenahalli  Room No 1,R T Nagar ,46,236,245,0,1,2,25,2,4,44,3,1,3,5,5,3,2,2,2,3,1,2,1,0,638,NIL,638,0
172,158165,165,Govt Urdu Higher Primary School 5th Mainroad  H G H Lyt  Ganganagara  Room No 2,R T Nagar ,22,83,128,0,0,2,17,0,3,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,285,NIL,285,0
173,158166,166,Vidya Deep Public School  2nd Cross  Bellary Rd  Dina Bank Colony,R T Nagar ,63,196,134,3,3,1,38,1,0,44,1,2,1,4,1,3,1,0,1,0,1,0,4,1,503,NIL,503,0
174,158167,167,R T Nagar Public School  3rd Main  K H M  Ganganagara  Room No -1,R T Nagar ,93,210,277,4,3,27,81,0,2,35,0,0,2,10,1,3,1,1,5,3,1,3,3,18,783,NIL,783,0
175,158168,168,Ward Office  Engineering Department  Near Ganganagara Bus Stop  Room No -1,R T Nagar ,106,195,286,5,1,3,60,0,0,31,0,0,1,2,1,1,1,0,0,0,2,1,1,1,698,NIL,698,0
176,158169,169,St  Michael Nursery & Primary High School  Room No 1,R T Nagar ,160,214,54,6,1,7,4,0,0,13,0,1,1,0,0,1,1,0,2,1,0,0,1,0,467,NIL,467,0
177,158170,170,St Michael Nursery & Primary High School  Room No 2,R T Nagar ,61,117,102,0,0,2,2,0,0,19,0,0,0,0,0,1,0,1,0,1,1,0,0,1,308,NIL,308,0
178,158171,171,Flowrence Public School  Room No 1,R T Nagar ,77,205,219,3,2,0,13,0,5,109,1,0,2,4,1,1,1,1,0,1,0,2,0,0,647,NIL,647,0
179,158172,172,Sri Vani English School  1st  B  Main  Hebbal Binny Mill  Gangenahalli  Room No 1,R T Nagar ,137,198,276,2,3,3,44,2,3,32,1,0,1,2,1,4,6,3,4,3,2,4,5,0,736,NIL,736,0
180,158173,173,Sri Vani English School  1st  B  Main  Hebbal Binny Mill  Gangenahalli  Room No 2,R T Nagar ,177,281,246,2,3,22,62,0,3,18,2,0,2,2,5,2,6,5,4,1,0,1,2,4,850,NIL,850,0
181,158174,174,Alwin Public School  1st Main Road  Hebbal Binny Mill  Gangenahalli,R T Nagar ,73,167,153,0,0,3,12,1,0,24,0,1,1,3,1,1,0,2,1,1,2,1,0,2,449,NIL,449,0
182,158174A,174A,#N/A,#N/A,66,130,121,1,1,0,10,1,0,23,0,0,0,0,0,1,1,0,0,0,0,0,1,0,356,NIL,356,0
183,158175,175,Alwin Public School  1st Main Road  Hebbal Binny Mill  Gangenahalli  Room No 2,R T Nagar ,66,124,164,4,2,0,10,0,1,18,4,0,1,0,1,2,0,0,0,0,0,0,1,0,398,NIL,398,0
184,158176,176,Alwin Public School  1st Main Road  Hebbal Binny Mill  Gangenahalli  Room No 3,R T Nagar ,47,99,200,2,2,1,11,1,0,20,1,1,1,3,0,1,0,3,0,0,0,0,0,1,394,NIL,394,0
185,158177,177,BBMP Nursery School  Room No 1,R T Nagar ,33,111,177,2,1,0,12,0,1,139,1,0,0,1,0,0,1,0,1,0,0,0,0,0,480,NIL,480,0
186,158178,178,Flowrence Public School  Room No 2,R T Nagar ,55,154,145,2,0,3,30,1,0,52,2,0,1,1,0,1,0,0,1,0,0,0,0,3,451,NIL,451,0
187,158179,179,Flowrence Public School  Room No 3,R T Nagar ,67,123,173,4,1,0,15,1,1,79,0,1,0,2,0,0,0,0,0,0,0,0,0,1,468,NIL,468,0
188,158180,180,Adarsha Vidya Mandira  Room No 1,R T Nagar ,75,176,89,8,2,6,11,0,2,90,1,0,0,2,0,1,1,1,1,0,0,0,1,1,468,NIL,468,0
189,158181,181,Adarsha Vidya mandira  Room No 2,R T Nagar ,89,207,135,3,3,0,11,3,4,91,0,1,2,0,0,0,0,0,1,0,0,2,0,1,553,NIL,553,0
190,158182,182,Adarsha Vidya mandira  1st Block R T Nagar Room No 3,R T Nagar ,250,195,19,3,0,26,0,1,0,5,0,1,0,0,1,3,2,1,0,0,0,2,1,4,514,NIL,514,0
191,158183,183,Adarsha Vidhya Mandir  Room No 4,R T Nagar ,138,219,311,4,1,9,20,0,2,21,6,1,0,1,0,1,0,1,4,0,1,2,0,1,743,NIL,743,0
192,158184,184,Adarsha Vidhya Mandir  Room No -5,R T Nagar ,143,258,249,5,0,4,21,1,1,16,1,0,1,0,2,2,3,1,5,1,0,3,0,5,722,NIL,722,0
193,158185,185,Gem English School  7th Main  K H M Block Gangenahalli  Room No 1,R T Nagar ,120,210,142,6,1,8,12,2,1,14,0,5,1,1,0,1,1,1,1,0,0,5,1,0,533,NIL,533,0
194,158186,186,Gem English School  7th Main  K H M Block Gangenahalli  Room No 2,R T Nagar ,66,87,116,2,0,1,2,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,280,NIL,280,0
195,158187,187,D G Q A Staff Institute  Bellary Road  Gangenahalli  Room No 1,R T Nagar ,21,142,174,2,2,1,18,1,0,46,8,0,0,2,0,0,2,1,2,1,0,1,0,2,426,NIL,426,0
196,158187A,187A,#N/A,#N/A,26,168,173,2,1,0,15,1,1,46,7,0,1,1,2,3,1,0,1,2,0,2,2,1,456,NIL,456,0
197,158188,188,D G Q A Staff Institute  Bellary Road  Gangenahalli  Room No 2,R T Nagar ,54,130,155,2,2,0,25,2,0,22,2,0,0,0,0,3,0,1,4,0,0,1,0,0,403,NIL,403,0
198,158189,189,D G Q A Staff Institute  Bellary Road  Gangenahalli  Room No 3,R T Nagar ,84,160,170,0,0,1,12,0,1,17,0,2,1,1,0,1,2,4,5,0,0,0,0,3,464,NIL,464,0
199,158190,190,Boston English Primary School  2nd Cross  Muthappa Block  Gangenahalli  Room No 1,R T Nagar ,101,170,210,6,0,7,18,0,1,48,0,2,0,1,1,1,0,0,2,0,1,2,1,2,574,NIL,574,0
200,158191,191,Boston English Primary School  2nd Cross  Muthappa Block  Gangenahalli  Room No 2,R T Nagar ,24,73,79,0,1,0,7,0,0,20,0,0,0,0,1,2,0,0,0,1,0,0,0,1,209,NIL,209,0
201,158192,192,Boston English Primary School  2nd Cross  Muthappa Block  Gangenahalli  Room No 3,R T Nagar ,79,201,148,0,2,2,36,1,1,39,1,4,1,0,2,0,0,0,0,1,0,0,0,0,518,NIL,518,0
202,158193,193,Boston English Primary School  2nd Cross  Muthappa Block  Gangenahalli  Room No 4,R T Nagar ,58,133,136,8,0,0,20,1,1,13,1,1,0,1,0,1,0,1,0,0,0,1,0,0,376,NIL,376,0
203,158194,194,Govt Urdu Higher Primary School  Room No 2,R T Nagar ,407,335,10,5,0,43,5,1,1,2,1,1,1,0,1,1,8,0,2,2,1,4,1,7,839,NIL,839,0
204,158195,195,Govt Urdu Higher Primary School  Room No 3,R T Nagar ,353,284,7,5,1,33,1,1,0,1,3,0,0,0,0,3,5,2,0,0,0,9,0,1,709,NIL,709,0
205,158196,196,Matha English Primary School  Room No 1,R T Nagar ,170,216,3,0,0,20,8,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,425,NIL,425,0
206,158197,197,Matha English Primary School  Room No 2,R T Nagar ,261,207,14,0,1,28,1,0,2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,521,NIL,521,0
207,158198,198,Matha English Primary School Room No 3,R T Nagar ,127,128,14,4,0,14,4,0,0,0,1,0,0,0,0,0,2,0,0,1,0,7,2,1,305,NIL,305,0
208,158199,199,Vidyanikethan English High School,R T Nagar ,169,202,148,1,0,5,17,1,0,6,2,0,1,0,0,4,0,0,1,0,2,0,0,1,560,NIL,560,0
209,158200,200,New Modern Education Society English School  Room No 1,R T Nagar ,80,165,269,4,1,7,11,1,1,18,1,0,0,3,0,1,1,0,1,1,0,0,0,1,566,NIL,566,0
210,158201,201,New Modern English Nursery And Primary School  Room No 2,R T Nagar ,133,183,169,2,3,4,11,0,0,3,1,2,0,1,1,1,3,0,1,2,0,0,0,1,521,NIL,521,0
211,158202,202,Margaret Nursery and Senior Primary School  Room No 1,R T Nagar ,90,133,194,8,0,4,5,0,1,9,0,0,1,0,0,2,3,2,2,0,0,3,0,2,459,NIL,459,0
212,158203,203,Margaret Nursery and Senior Primary School  Room No 2,R T Nagar ,107,211,29,6,0,14,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,371,NIL,371,0
213,158204,204,Govt  Model Kannada Primary School  Room No 1,R T Nagar ,87,144,164,1,0,2,7,0,0,12,11,0,0,0,1,1,3,0,3,0,0,2,0,0,438,NIL,438,0
214,158205,205,Govt Model Kannada Primary School  Room No 2,R T Nagar ,111,210,286,2,1,8,17,0,1,8,5,1,0,0,0,1,1,0,0,0,0,0,0,2,654,NIL,654,0
215,158206,206,Govt  Model Urdu Primary School  Room No 1,R T Nagar ,112,229,350,0,1,3,11,0,4,2,2,0,0,2,0,6,4,3,2,0,1,0,2,1,735,NIL,735,0
216,158207,207,Govt Urdu Higher Primary Girls School  Room No 2,R T Nagar ,109,249,230,3,2,11,5,2,0,0,0,0,0,1,1,6,0,2,2,0,1,4,0,1,629,NIL,629,0
217,158208,208,Govt  Pre-University College  Matadahalli  Room No 1,R T Nagar ,176,193,175,1,1,8,8,1,5,11,4,2,1,1,0,1,0,1,0,0,0,1,0,1,591,NIL,591,0
218,158209,209,H R H A Higher Primary School  Room No 1,R T Nagar ,118,174,159,0,1,3,5,0,1,8,3,0,0,0,2,0,0,0,0,2,0,1,1,0,478,NIL,478,0
219,158210,210,H R H A Higher Primary School  Room No 2,R T Nagar ,74,133,124,2,2,1,3,0,2,15,1,0,0,0,0,0,3,2,1,1,2,0,0,2,368,NIL,368,0
220,158211,211,H R H A Higher Primary School  Room No 3,J C Nagar,119,211,77,7,0,9,4,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,434,NIL,434,0
221,158212,212,H R H A Higher Primary School  Room No 4,J C Nagar,164,128,26,3,0,7,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,2,2,340,NIL,340,0
TOTAL VOTES ON EVM MACHINES,,,,,25017,32967,38098,508,210,1473,5798,164,246,6257,264,191,113,568,185,477,335,235,281,152,161,721,182,719,115322,NIL,115322,0
222,No.of Votes Recorded on Postal Ballot Papers,No.of Votes Recorded on Postal Ballot Papers,,,56,59,64,0,1,0,18,1,0,14,0,0,0,2,0,0,0,0,0,0,0,0,1,2,218,2,216,0
ALL,GRAND TOTAL,GRAND TOTAL,,,25073,33026,38162,508,211,1473,5816,165,246,6271,264,191,113,570,185,477,335,235,281,152,161,721,183,721,115540,2,115538,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Varaprasad Reddy.B.N
Returning Officer
158-Hebbal Assembly Constituecy",,,,,,,,,,,
